SourceMacAddress,DestinationMacAddress,SourceIPAddress,DestinationIPAddress,SourcePortNo.,DestinationPortNo.
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.167.163,34779,80,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.167.163,10.0.2.15,80,34779,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.217.167.163,34775,80,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.217.167.163,10.0.2.15,80,34775,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,59982,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,59982,53,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,59982,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,59982,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,54.182.0.110,47391,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,54.182.0.110,10.0.2.15,443,47391,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,54.182.0.110,47391,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,54.182.0.110,47391,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,54.182.0.110,10.0.2.15,443,47391,
52:54:0:12:35:2,8:0:27:30:b2:8f,54.182.0.110,10.0.2.15,443,47391,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,54.182.0.110,47391,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,54.182.0.110,10.0.2.15,443,47391,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,54.182.0.110,47391,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,54.182.0.110,10.0.2.15,443,47391,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,54.182.0.110,47391,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,54.182.0.110,47391,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,54.182.0.110,10.0.2.15,443,47391,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,54.182.0.110,47391,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,54.182.0.110,47391,443,
52:54:0:12:35:2,8:0:27:30:b2:8f,54.182.0.110,10.0.2.15,443,47391,
52:54:0:12:35:2,8:0:27:30:b2:8f,54.182.0.110,10.0.2.15,443,47391,
52:54:0:12:35:2,8:0:27:30:b2:8f,54.182.0.110,10.0.2.15,443,47391,
52:54:0:12:35:2,8:0:27:30:b2:8f,54.182.0.110,10.0.2.15,443,47391,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,54.182.0.110,47391,443,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,54.182.0.110,47391,443,
